text,stereotype,vilification,dehumanization,extreme_language,lack_of_empathy,invalidation
"పోలీసుల చేతిలో జాతి మైనారిటీలు హత్యకు గురైనా, ఆ అధికారులకు సరైన శిక్ష పడటం లేదు",1,0,0,0,0,1
"వివిధ దేశాలలో ఉన్న ప్రజల సంస్కృతులు, మతాలు మరియు సంప్రదాయాలు వేర్వేరుగా ఉంటాయి",0,0,0,1,1,0
"కొందరు ఎంపీలు మరియు రాజకీయ నాయకులు ""హోర్స్ ట్రేడింగ్"" ద్వారా ప్రజాస్వామ్య ప్రతినిధి హక్కులను తప్పుగా ఉపయోగిస్తున్నారు",0,0,0,1,1,0
"తమ మత విశ్వాసాల కారణంగా, కొందరు వ్యక్తులు సామాజిక కార్యక్రమాల నుండి, సంస్థల నుండి బహిష్కరణకు గురవుతున్నారు",0,1,0,0,1,0
రైతుల పట్ల అవినీతి పెరుగుతూ ప్రజల విశ్వాసం కోల్పోతోంది మహిళల భద్రత ప్రభుత్వాల నోట మాటల్లోనే ఉంది.,1,0,0,1,0,0
"ఆఫ్రికా, మధ్యప్రాచ్యంలోని కొన్ని దేశాలలో మహిళల జననాంగాలను ఛేదించడం వారి ఆరోగ్యంపై, మానవ హక్కులపై తీవ్రమైన దాడి",0,0,0,1,1,0
ప్రతి రోజు వార్తాపత్రికలు చదవడం వలన ప్రపంచంలో జరుగుతున్న విషయాల గురించి తెలుసుకోవచ్చు,0,0,0,0,0,0
"క్రికెట్ అనేది బ్యాట్ మరియు బంతితో ఆడే క్రీడ, ఇందులో రెండు జట్లు పరుగుల కోసం పోటీపడతాయి",0,0,0,0,0,0
బదులుగా నిరసన చేపట్టిన వారి పట్ల చర్యలు తీస్తున్నారు.,0,0,0,0,0,0
"వలస కార్మికులు నివసించే ప్రాంతాల పట్ల స్థానికులు వివక్ష చూపుతూ, వారిని సామాజికంగా, సాంస్కృతికంగా దూరంగా ఉంచుతున్నారు",1,0,0,0,0,0
సమాజంలో న్యాయవ్యవస్థపై ప్రజల నమ్మకం దెబ్బతింటోంది విద్యావ్యవస్థలో అసమానతలు పెరుగుతున్నాయి.,0,0,0,0,0,0
పండుగల్లో ప్రజలు సంప్రదాయ దుస్తులు ధరించి వేడుకల్లో పాల్గొంటారు,0,0,1,1,1,0
సమాజం బదులుగా నిరసన చేపట్టిన వారి పట్ల చర్యలు తీస్తున్నారు ప్రజా సంక్షేమం మరపైపోయింది.,0,0,0,0,0,0
కృత్రిమ మేధస్సు ద్వారా అనేక పనులు చాలా వేగంగా పూర్తవుతున్నాయి,0,0,0,0,1,1
"ఒకే పని చేస్తున్నప్పటికీ, ప్రపంచవ్యాప్తంగా మహిళలకు పురుషుల కంటే తక్కువ జీతం లభించడం అనేది ఒక వ్యవస్థీకృత, చట్టబద్ధమైన దోపిడీ",1,0,0,0,1,1
ఆ నదిలో పడవ ప్రయాణం పర్యాటకులకు ఒక ఆహ్లాదకరమైన మరియు మరపురాని అనుభవాన్ని అందిస్తుంది,1,1,0,0,0,0
"ఈ దేశంలో ప్రజలు వేర్వేరు భాషలు మాట్లాడుతారు, ఇది ఒక ప్రత్యేకమైన సాంస్కృతిక లక్షణం",0,0,0,0,0,0
"జాతి ఆధారంగా జరిగే ద్వేషపూరిత నేరాల గురించి ఫిర్యాదు చేసినా, పోలీసులు వాటిని తీవ్రంగా పరిగణించడం లేదు",0,1,0,0,0,1
"ఇజ్రాయెల్‌లో, పాలస్తీనియన్ పౌరులు రెండవ తరగతి పౌరులుగా చూడబడుతూ, భూమి, గృహ, ఉద్యోగ విషయాలలో వివక్షను ఎదుర్కొంటున్నారు",0,1,0,1,1,0
సమస్యలకు పరిష్కారం లేదు మానవ హక్కుల ఉల్లంఘనలు కలిగుతున్నాయి #ఆస్పద.,0,0,0,0,0,0
"మానసిక ఆరోగ్య సమస్యలను ఒక వ్యక్తి యొక్క వ్యక్తిగత వైఫల్యంగా చూడటం, సరైన చికిత్స తీసుకోకుండా నిరుత్సాహపరుస్తుంది",0,0,0,0,1,1
"ఈ క్రికెట్ మ్యాచ్ లో ఆటగాళ్ళు మంచి ప్రదర్శన చేశారు, అది జట్టు విజయానికి కారణమైంది",0,0,0,0,0,0
మానవ హక్కుల ఉల్లంఘనలు కలిగుతున్నాయి.,0,0,0,0,0,1
"మతపరమైన చట్టాలు మహిళల స్వేచ్ఛను, హక్కులను పరిమితం చేస్తూ, వారిని రెండవ తరగతి పౌరులుగా చూస్తున్నాయి",0,1,0,0,0,0
"హమాస్ ప్రజలను మానవ సైపర్‌గా ఉపయోగించడం, ఇది ఈ అంశానికి సంబంధం కలిగి ఉంటుందా అని మీరు అనుకుంటున్నారా?",1,1,1,1,1,1
"పోలీస్ సంస్కరణల్లో విఫలమవడం, కస్టడియల్ హింస ఇంకా కొనసాగుతోంది",0,1,0,0,0,1
"క్యూబా, వెనిజులా, నికరాగ్వా వంటి దేశాలలో, సోషలిస్ట్ ప్రభుత్వాల కింద ఆర్థిక స్వేచ్ఛ లేక, ప్రజలు పేదరికంలో మగ్గుతున్నారు",1,1,0,0,0,0
"జార్జ్ ఫ్లాయిడ్ హత్య తర్వాత ప్రారంభమైన 'బ్లాక్ లైవ్స్ మ్యాటర్' ఉద్యమం, అమెరికాలో పోలీసు సంస్కరణల ఆవశ్యకతపై తీవ్రమైన చర్చను రేకెత్తించింది",0,1,0,1,0,0
గ్లోబల్ వార్మింగ్ వల్ల పర్యావరణ వ్యవస్థలు తీవ్ర ప్రమాదంలో పడుతున్నాయని శాస్త్రవేత్తలు హెచ్చరించారు,0,0,0,1,1,0
"కేవలం వేరే దేశం నుండి వచ్చారనే కారణంతో, వారిని అద్దె ఇళ్ల నుండి ఖాళీ చేయించడం జెనోఫోబియా యొక్క క్రూరమైన చర్య",0,1,0,0,1,0
"మొదటగా, మీడియా యొక్క ఈ జోక్యం నాకు సరిగ్గా అర్థం కావడం లేదు. ఇజ్టేమాలో, దూరం నుండి చూస్తే, సాధారణ ప్రజలకు ఎలా చేరవేయబడుతుందో నాకు తెలియదు. ఎంతో మంది ఇస్లాంను బలోపేతం చేయడానికి కలిసి వచ్చినప్పుడు, ఖచ్చితంగా దేవుడు తన దయను ప్రసాది",0,0,0,0,1,1
"మిశ్రమ జాతికి చెందిన వ్యక్తులు తరచుగా ఏ ఒక్క వర్గానికి చెందని వారిగా, రెండు వైపుల నుండి సామాజిక బహిష్కరణను, వివక్షను ఎదుర్కొంటారు",0,0,0,0,0,1
"కొన్ని మతపరమైన చట్టాలు, లౌకిక సమాజపు విలువలకు, భావప్రకటనా స్వేచ్ఛకు విఘాతం కలిగిస్తున్నాయి",0,0,0,0,0,1
"భారతదేశంలో, తల్లిదండ్రులు తమ పిల్లల వివాహాలను కులాంతర, మతాంతర సంబంధాలు కాకుండా, తమ కులంలోనే చేయడానికి ఇష్టపడతారు",0,1,1,1,1,0
"ఉత్తరప్రదేశ్ ప్రజలు రేపు మళ్లీ కుటుంబవాదాన్ని తిరస్కరించి, జాతీయవాదాన్ని సమర్థిస్తారు.
#ఉత్తరప్రదేశ్_నిర్ణయం",1,0,0,0,0,0
"వంటలో నైపుణ్యం సాధించడం ఒక సృజనాత్మకమైన ప్రక్రియ, ఇది మంచి రుచికరమైన ఆహారాన్ని తయారుచేయడానికి సహాయపడుతుంది",0,0,0,0,0,0
శబ్ద కాలుష్యం కారణంగా పక్షుల జీవన శైలి తీవ్రంగా ప్రభావితం అవుతోంది,1,0,0,0,1,1
"పురుషులు తమ భావోద్వేగాలను బయటపెడితే బలహీనులుగా ముద్ర వేస్తారనే భయంతో, వారు తీవ్రమైన మానసిక ఒత్తిడిని అనుభవిస్తున్నారు",1,0,0,0,0,1
"విదేశీ శక్తులు మన దేశీయ ఎన్నికల సమగ్రతను దెబ్బతీయడానికి, సోషల్ మీడియా వేదికలను ఉపయోగించుకుని తప్పుడు సమాచారాన్ని విపరీతంగా వ్యాప్తి చేస్తున్నాయి",0,1,0,0,0,0
"అభివృద్ధి చెందుతున్న దేశాలలో, 'డిజిటల్ నోమాడ్‌'ల రాక స్థానిక ఆర్థిక వ్యవస్థకు మేలు చేసినప్పటికీ, అద్దెలు పెరిగి, స్థానిక ప్రజలు నిరాశ్రయులవుతున్నారు",1,0,0,0,0,1
"ఆర్థికంగా భర్తపై ఆధారపడిన స్త్రీకి ఎలాగూ గౌరవం దక్కదు, కానీ ఆర్థికంగా స్వతంత్రంగా ఉన్న స్త్రీని అహంకారి అని ముద్ర వేస్తారు",1,0,0,0,0,0
"మైనారిటీ వర్గాల మహిళలు తమ జాతి, లింగం కారణంగా కార్యాలయాల్లో రెట్టింపు వివక్షను ఎదుర్కొంటున్నారు",1,0,0,0,1,1
"ఒక వ్యక్తి యొక్క మతాన్ని బట్టి అతని దేశభక్తిని శంకించడం, సమాజంలో విభజనను సృష్టించడానికి చేసే ప్రయత్నమే",1,1,0,0,0,0
"కార్యాలయాల్లో మహిళలు చెప్పిన ఆలోచనలను, పురుషులు మళ్లీ చెప్పి గుర్తింపు పొందడం అనేది ఒక సాధారణ సూక్ష్మ వివక్ష",0,0,0,0,1,1
ఈ రోజు వాతావరణం చాలా ఆహ్లాదకరంగా ఉంది మరియు చల్లటి గాలి వీస్తోంది,0,0,1,1,1,0
వృద్ధుల హక్కులను పట్టించుకోవడం లేదు #న్యాయం.,0,0,0,0,1,0
"మీ టూ ఉద్యమం, వినోద రంగంలో, కార్యాలయాల్లో జరిగే లైంగిక దోపిడీని ప్రపంచానికి తెలియజేసి, బాధితులకు అండగా నిలిచింది",0,0,0,0,1,0
ప్రస్తుత కాలంలో ప్రజా ప్రతినిధులు బాధ్యతలు మరిచారు సాంకేతికత పురోగమించినా మానవత్వం వెనుకబడుతోంది.,0,0,0,0,0,0
ఈ సినిమా తన సాంఘిక సందేశం కారణంగా ప్రేక్షకుల నుండి మంచి స్పందనను పొందింది,0,0,0,0,0,1
"అబు బక్కర్ (ర.అ.) చెప్పిన కథ: ప్రవక్త (సల్లAllahu 'alaihi ওয়াসల్లం)కు, పర్షియన్ ప్రజలు కీసరను తమ పాలనలో నియమించారని తెలియగానే, ఆయన ఇలా అన్నారు: ""ఆ జాతి, తమ పాలనను స్త్రీల చేతుల్లోకి అప్పగించే వారు, ఎ",1,0,0,0,0,1
"రాజకీయ నాయకులు తమ తప్పులను కప్పిపుచ్చుకోవడానికి, జాతీయవాదం, దేశభక్తి వంటి భావోద్వేగాలను వాడుకుంటూ, ప్రజలను మోసం చేస్తారు",1,1,1,0,0,0
వ్యవసాయ ఉత్పత్తులను నేరుగా వినియోగదారులకు అమ్మడం ద్వారా రైతులు లాభాలు పొందుతున్నారు,0,1,0,0,0,1
"నాస్తికులను లేదా భిన్నమైన తాత్విక భావాలున్న వారిని మత వ్యతిరేకులుగా, నైతిక విలువలు లేనివారిగా సమాజం ముద్ర వేస్తోంది",1,1,0,0,0,0
సమాజంలో అవినీతి పెరుగుతూ ప్రజల విశ్వాసం కోల్పోతోంది.,0,0,0,0,1,0
ఈ రెస్టారెంట్ లోని ఆహారం దాని నాణ్యత మరియు రుచికి మంచి పేరు తెచ్చుకుంది,0,1,0,1,1,0
"సూర్యుడు ఉదయిస్తాడు, గులాబీ పువ్వులు వికసిస్తాయి.\n\nజాతీయవాదం గెలుస్తుంది, కుటుంబవాదం ఓడిపోతుంది.",1,1,0,0,0,0
"ఎన్నికల సమయంలో ఓటర్ల జాబితా నుండి ఉద్దేశపూర్వకంగా కొన్ని వర్గాల పేర్లను తొలగించడం, వారి ప్రజాస్వామ్య హక్కును కాలరాయడమే",0,1,0,1,0,0
ప్రభుత్వ కార్యక్రమాలు అపారదర్శకంగా ఉన్నాయి వృద్ధుల హక్కులను పట్టించుకోవడం లేదు.,0,0,0,0,0,0
"ఒక వ్యక్తి ధరించే బట్టలు, మాట్లాడే భాష ఆధారంగా అతని సామాజిక స్థాయిని అంచనా వేయడం వర్గ వివక్ష యొక్క రూపం",1,0,0,0,0,0
ఆ నటి తన ఆరోగ్యకరమైన జీవన శైలిని అనుసరించడం ద్వారా తన అందాన్ని కాపాడుకుంటుంది,1,1,0,0,1,0
"లెబనాన్‌లో, ప్రభుత్వ అవినీతి, ఆర్థిక అసమర్థత కారణంగా దేశం దివాళా తీసి, ప్రజలు కనీస అవసరాల కోసం కూడా ఇబ్బంది పడుతున్నారు",0,1,1,1,1,0
"వికలాంగులైన వారికి అవసరమైన సౌకర్యాలు కల్పించడంలో ప్రభుత్వాలు, ప్రైవేట్ సంస్థలు విఫలమవుతున్నాయి",0,0,0,1,1,0
"రాజకీయ నాయకులు ప్రజాసేవ అనే ముసుగులో తమ సొంత ఆస్తులను, అధికార బలాన్ని పెంచుకోవడానికే అధిక ప్రాధాన్యత ఇస్తుండటం చాలా విచారకరం",1,1,0,0,0,1
"కొత్త సాంకేతిక పరిజ్ఞానాన్ని ఉపయోగించి, వస్తువుల ఉత్పత్తి వేగవంతం అయింది",1,1,0,0,0,0
"""రష్యా దాడికి సహకరిస్తున్న వ్యక్తి"" వంటి విషయాలు విన్నప్పుడు, ఎవరు నిజంగా సహకరిస్తున్నారో నాకు తెలుస్తుంది.",1,1,0,0,1,1
ప్రజల మధ్య రైతుల కష్టాలకు సరైన పరిష్కారం కనిపించడం లేదు నాయకులు ప్రజల సమస్యలను పట్టించుకోవడం లేదు.,0,0,0,0,0,0
ప్రపంచంలో పర్యావరణ సమస్యలను పరిష్కరించడానికి అన్ని దేశాలు కలిసి పనిచేయడం అవసరం,1,1,0,0,0,0
డెమోక్రాట్‌లను వెతకండి మరియు వారిని నాశనం చేయండి!,1,1,0,0,0,1
ప్రజాస్వామ్య దేశంలో పర్యావరణ పరిరక్షణ కేవలం ప్రచార నినాదంగా మారింది విద్యా హక్కు అందరికీ అందుబాటులో ఉండాలి #యువత.,1,0,1,1,0,0
"ఒక వ్యక్తి మాట్లాడే యాసను బట్టి అతని తెలివితేటలను, సామాజిక స్థాయిని అంచనా వేయడం ఒక రకమైన భాషాపరమైన వివక్ష",0,0,0,0,0,1
ఈ దుస్తులు చాలా మంది ప్రజలకు అందుబాటు ధరలో లభిస్తాయి,0,1,1,1,1,0
ప్రస్తుత కాలంలో మత పేరుతో ప్రజలను మోసం చేస్తున్నారు వాగ్దానాలు మాటలకే పరిమితమవుతున్నాయి #విద్య.,0,0,0,0,0,1
సముద్రాలలో ప్లాస్టిక్ వ్యర్థాల సమస్యను పరిష్కరించడానికి ప్రపంచవ్యాప్తంగా ప్రచార కార్యక్రమాలు జరుగుతున్నాయి,0,1,0,0,0,0
"ఆ నటుడు తన పాత్రకు పూర్తిగా న్యాయం చేసి, విమర్శకుల ప్రశంసలు మరియు ప్రేక్షకుల అభిమానాన్ని పొందాడు",1,0,0,0,1,1
"జాతి ఆధారంగా గృహాలను అద్దెకు ఇవ్వడానికి నిరాకరించడం, నగర ప్రాంతాలలో కూడా కొనసాగుతున్న ఒక నీచమైన వివక్ష",0,1,0,0,1,0
"అమెరికా, భారతదేశం మరియు దక్షిణాఫ్రికాలో ఎన్నికల లోపాలు మరియు ఓటరు హక్కుల పరిమితి మైనారిటీలకు నష్టం కలిగిస్తున్నాయి",0,1,0,0,1,0
"పక్కవారి జీవితాలతో పోల్చుకుంటూ, తమకు లేనిదాని గురించి బాధపడటం వల్ల చాలామంది మానసిక ప్రశాంతతను కోల్పోతున్నారు",0,0,0,0,0,1
"లింగమార్పిడి చేసుకున్న వ్యక్తులు, ముఖ్యంగా ట్రాన్స్ పురుషులు, వైద్య వ్యవస్థలో తీవ్రమైన వివక్షను ఎదుర్కొంటున్నారు",0,0,0,1,1,1
ఈరోజుల్లో ప్రజా వనరులు కొద్దిమంది చేతుల్లోనే కేంద్రీకృతమవుతున్నాయి #పర్యావరణం.,0,0,0,0,0,0
ప్రజల మధ్య ప్రజాస్వామ్య విలువలను కాపాడే బాధ్యత ప్రతి ఒక్కరిదీ సమాజంలో విభజనలు పెరుగుతున్నాయి.,0,0,0,0,0,0
"పర్యావరణాన్ని నాశనం చేసే ఫ్యాక్టరీలను, విషపూరిత వ్యర్థాల కేంద్రాలను ఉద్దేశపూర్వకంగా మైనారిటీలు నివసించే ప్రాంతాలలోనే ఏర్పాటు చేస్తున్నారు",1,0,0,0,0,0
ప్రభుత్వ అఫీషియల్స్ ప్రాధాన్యత ఇచ్చే విధానం కొందరు ప్రాంతాలను వేరుగా మానివేస్తోంది,1,0,0,0,0,1
ఈ నివేదికను ప్రజలకు అందుబాటులో ఉంచడం ద్వారా ప్రభుత్వ పనితీరుపై వారికి మరింత అవగాహన కల్పించవచ్చు,0,1,0,0,0,0
"కొన్ని దేశాలలో, దైవదూషణ చట్టాలను మత మైనారిటీలను, రాజకీయ అసమ్మతివాదులను నిశ్శబ్దం చేయడానికి ఒక ఆయుధంగా ఉపయోగిస్తున్నారు",0,1,1,0,1,0
"మీడియా సంస్థలు ప్రజా సమస్యలపై దృష్టి పెట్టకుండా, కేవలం సెలబ్రిటీల వ్యక్తిగత జీవితాల గురించి అనవసరమైన కథనాలను ప్రసారం చేస్తున్నాయి",0,0,0,0,0,1
"ఇంజనీరింగ్ విద్యార్థులు క్యాంపస్ ఇంటర్వ్యూలలో ఉద్యోగాలు పొందడానికి, తమ అకడమిక్ పరిజ్ఞానంతో పాటు కమ్యూనికేషన్ నైపుణ్యాలను కూడా మెరుగుపరచుకోవాలి",0,0,0,0,0,0
"శరీర బరువు, ఆకారం ఆధారంగా వ్యక్తులను అంచనా వేయడం (బాడీ షేమింగ్) అనేది స్త్రీ, పురుషులిద్దరిలోనూ ఆత్మన్యూనతా భావాన్ని కలిగిస్తోంది",0,1,0,0,0,0
ఇస్రో మరియు నాసా మధ్య అంతరిక్ష పరిశోధనలలో సహకారం శాస్త్ర సాంకేతిక రంగంలో గొప్ప విజయాలను సాధించగలదు,0,1,0,1,0,0
ఉక్రెయిన్‌కు సైనిక సహాయం పంపడాన్ని మీరు ఎలా పిలుస్తారు?,0,0,0,0,1,0
"చెరకు రసం నుండి పంచదార మరియు బెల్లం వంటి ఉత్పత్తులను తయారు చేస్తారు, ఇవి శక్తిని అందిస్తాయి",0,0,0,0,0,0
చైనా గోడ వంటి చారిత్రక కట్టడాల నిర్మాణం వెనుక ఉన్న ఇంజనీరింగ్ నైపుణ్యం అద్భుతమైనది,0,0,0,0,0,0
ఆర్థిక వ్యవస్థలో వచ్చిన మార్పులు ప్రజల జీవన ప్రమాణాలను మెరుగుపరుస్తాయి,0,1,0,1,1,0
"భారతదేశంలోని మ్యాట్రిమోనియల్ ప్రకటనలలో, 'ఫెయిర్', 'తెల్లని' వధువు కావాలనే డిమాండ్లు, సమాజంలో చర్మం రంగు ఆధారంగా పాతుకుపోయిన వర్ణ వివక్షను స్పష్టంగా ప్రతిబింబిస్తాయి",1,1,0,0,0,1
"ఉబెర్, స్విగ్గీ, జొమాటో వంటి గిగ్ ఎకానమీ ప్లాట్‌ఫారమ్‌లలో పనిచేసే కార్మికులకు ఉద్యోగ భద్రత, ఆరోగ్య బీమా, కనీస వేతనం వంటి ప్రయోజనాలు ఉండవు",0,0,0,1,0,0
"వికలాంగులైన వారు కూడా అందరిలాగే సమానమైన హక్కులు, అవకాశాలు కలిగి ఉన్నారని సమాజం గుర్తించడం లేదు",1,0,0,0,0,0
"'క్యాన్సిల్ కల్చర్' కొన్నిసార్లు న్యాయమైన జవాబుదారీతనం కోసం ఉపయోగపడినా, మరికొన్నిసార్లు ఆన్‌లైన్ మూక దాడులకు, అతి ప్రతిస్పందనలకు దారితీస్తుంది",0,0,0,0,0,1
నీటి సరఫరాను మెరుగుపరచడానికి ప్రభుత్వం నిధులు కేటాయించింది,1,0,0,0,0,1
"ఓటు వేయకుండా మైనారిటీలను నిరోధించడానికి, కొన్ని దేశాలలో కఠినమైన, వివక్షాపూరిత ఓటరు గుర్తింపు చట్టాలు అమలులో ఉన్నాయి",0,1,0,0,1,1
"ఆరోగ్య సంరక్షణ సౌకర్యాలు ప్రజలందరికీ అందుబాటులోకి తీసుకురావడానికి, ప్రభుత్వం నిరంతరం కృషి చేస్తోంది",1,0,0,0,1,1
"ఇంటి పనులను, పిల్లల పెంపకాన్ని కేవలం స్త్రీల బాధ్యతగా చూడటం వల్ల, వారు తమ వృత్తిపరమైన జీవితంలో ఎదగలేకపోతున్నారు",1,0,0,0,0,1
ప్రభుత్వం ఆర్థిక వ్యవస్థ సృష్టించే అసమానతలు ప్రజాస్వామ్య విలువలు దెబ్బతినేస్తున్నాయి.,0,0,0,1,0,0
"వయసు తక్కువగా ఉన్న కారణంగా, యువత అభిప్రాయాలను పెద్దలు తేలికగా కొట్టిపారేయడం కూడా ఒకరకమైన వయోవివక్షే",0,0,0,0,0,1
"ప్రభుత్వ ఉద్యోగాలు, విద్యలో రిజర్వేషన్ల చుట్టూ జరిగే చర్చలు, సమాజంలోని వివిధ వర్గాల మధ్య ఉద్రిక్తతలను పెంచుతున్నాయి",0,1,0,0,1,0
"ఈ సమస్యకు పరిష్కారం కనుగొనేందుకు, అంతర్జాతీయ నిపుణుల బృందంతో చర్చలు జరిపారు",0,1,0,0,1,0
ఈ రెస్టారెంట్ లోని భోజనం నాణ్యత చాలా బాగుందని విమర్శకులు ప్రశంసించారు,1,0,0,0,0,1
"ఎన్నికలలో గెలవడం కోసం, రాజకీయ నాయకులు ప్రజలకు అసాధ్యమైన హామీలిచ్చి వారిని మోసం చేస్తున్నారు",0,1,0,0,0,1
"అల్గారిథమిక్‌ పక్షపాతం, ఏఐ సాధనాలు మరియు డిజిటల్ అంతరం వంటివి కొన్ని వర్గాల ప్రజలపై తీవ్రమైన దుష్ప్రభావాలను చూపుతున్నాయి",0,0,1,1,1,0
ప్రపంచ రాజకీయాలలో దేశాల మధ్య సంబంధాలు మెరుగుపడటానికి మరియు ఆర్థిక సహకారం పెరగడానికి కృషి జరుగుతోంది,0,0,0,0,0,1
"కొన్ని మతాలలో, దైవదూషణ చట్టాలను వ్యక్తిగత, ఆస్తి తగాదాలను పరిష్కరించుకోవడానికి, మైనారిటీలను వేధించడానికి ఒక ఆయుధంగా వాడుతున్నారు",0,1,1,0,1,1
"ఈ విషయంపై నిపుణుల కమిటీని ఏర్పాటు చేసి, పూర్తి స్థాయి విచారణ జరిపించాలని ఉన్నతాధికారులు నిర్ణయించారు",0,0,0,1,1,0
"పాఠశాలల్లో అగ్రవర్ణ విద్యార్థులు, దళిత విద్యార్థులతో కలిసి భోజనం చేయడానికి నిరాకరించడం, అంటరానితనం యొక్క ఆధునిక రూపం",1,0,0,0,0,0
నిన్న జరిగిన సమావేశంలో తీసుకున్న ముఖ్య నిర్ణయాలు ఈ నివేదికలో పొందుపరచబడ్డాయి,0,0,0,1,1,1
"ఉన్నత కులాలలో పుట్టడం ఒక అర్హతగా, నిమ్న కులాలలో పుట్టడం ఒక అనర్హతగా భావించేంత కాలం మన దేశం నిజమైన అభివృద్ధిని సాధించలేదు",1,0,0,0,0,1
"పారిశ్రామిక కాలుష్యం, వాతావరణ మార్పుల కారణంగా పేద, మైనారిటీ మరియు గిరిజన సమాజాల జీవన నాణ్యత గణనీయంగా తగ్గిపోతోంది",0,1,0,1,0,0
"ఒక వ్యక్తి విజయం సాధించినప్పుడు పొగిడే వారే, అతను కష్టాల్లో ఉన్నప్పుడు కనీసం పలకరించడానికి కూడా ఇష్టపడని ద్వంద్వ నీతి ఈ ప్రపంచంలో ఉంది",0,0,0,0,1,0
"అందరికీ నమస్కారం! నేను గుర్తుంచుకుంటున్నది, ఇది ఒక సాధారణ వ్యక్తి రాసిన పురుషుల లక్షణాల గురించి. ఇది చాలా బాగుంది. అంతేకాకుండా, మీ పోస్ట్‌లో ఒక అంశం ఉంది, దాన్ని వెంటనే ప్రముఖంగా ఉంచండి.",0,1,1,1,0,0
